year,week,week.year,Sum of Total number of influenza positive viruses,Sum of Total  number  of influenza negative viruses
2017,1,1.2017,9770,32027
2017,2,2.2017,11527,31696
2017,3,3.2017,12064,31760
2017,4,4.2017,12385,32838
2017,5,5.2017,14466,34640
2017,6,6.2017,17591,38442
2017,7,7.2017,17896,39335
2017,8,8.2017,17171,37663
2017,9,9.2017,12240,34264
2017,10,10.2017,11117,32740
2017,11,11.2017,9850,31217
2017,12,12.2017,9714,29746
2017,13,13.2017,8529,27905
2017,14,14.2017,6302,25497
2017,15,15.2017,4557,22778
2017,16,16.2017,3266,20956
2017,17,17.2017,2164,18404
2017,18,18.2017,1652,16014
2017,19,19.2017,1434,15082
2017,20,20.2017,1213,14136
2017,21,21.2017,927,12727
2017,22,22.2017,777,11541
2017,23,23.2017,600,10616
2017,24,24.2017,467,9556
2017,25,25.2017,359,8524
2017,26,26.2017,301,7592
2017,27,27.2017,268,7155
2017,28,28.2017,245,7519
2017,29,29.2017,209,7341
2017,30,30.2017,214,6933
2017,31,31.2017,223,6914
2017,32,32.2017,226,7058
2017,33,33.2017,180,7797
2017,34,34.2017,217,8371
2017,35,35.2017,306,9618
2017,36,36.2017,370,10519
2017,37,37.2017,408,11951
2017,38,38.2017,404,13165
2017,39,39.2017,455,14184
2017,40,40.2017,573,16070
2017,41,41.2017,627,17102
2017,42,42.2017,705,18472
2017,43,43.2017,915,19124
2017,44,44.2017,1265,20540
2017,45,45.2017,1601,22117
2017,46,46.2017,2207,23851
2017,47,47.2017,2851,23144
2017,48,48.2017,3882,26598
2017,49,49.2017,5791,28965
2017,50,50.2017,8961,31436
2017,51,51.2017,16447,38764
2017,52,52.2017,20855,43049
2018,1,1.2018,24240,47846
2018,2,2.2018,27507,52262
2018,3,3.2018,27154,52775
2018,4,4.2018,30485,60927
2018,5,5.2018,30771,62357
2018,6,6.2018,30721,61920
2018,7,7.2018,27573,57573
2018,8,8.2018,20553,48353
2018,9,9.2018,14671,41268
2018,10,10.2018,10999,36118
2018,11,11.2018,9522,32314
2018,12,12.2018,7920,29552
2018,13,13.2018,7067,27014
2018,14,14.2018,5579,24955
2018,15,15.2018,4468,23119
2018,16,16.2018,3192,20202
2018,17,17.2018,2424,18481
2018,18,18.2018,1694,16609
2018,19,19.2018,968,14801
2018,20,20.2018,589,12996
2018,21,21.2018,426,11805
2018,22,22.2018,251,10861
2018,23,23.2018,200,9811
2018,24,24.2018,156,9074
2018,25,25.2018,114,8614
2018,26,26.2018,112,7825
2018,27,27.2018,97,6920
2018,28,28.2018,96,7075
2018,29,29.2018,109,6908
2018,30,30.2018,95,6891
2018,31,31.2018,91,6396
2018,32,32.2018,96,6867
